,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q31A,Q32A,Q33A,Q34A,Q35A,Q36A,Q37A,Q38A,Q39A,Q40A,Q41A,Q42A,gender
3826,4,4,4,2,4,4,3,3,4,4,4,4,4,2,4,4,4,4,3,3,4,3,2,4,4,4,3,4,4,4,4,2,4,4,3,4,4,4,4,2,2,4,1
3827,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2
3828,2,2,4,1,2,1,1,2,1,3,2,2,2,2,1,3,2,1,1,1,3,1,1,3,1,3,2,1,1,1,2,2,1,2,2,1,1,2,2,1,1,3,1
3829,3,3,4,4,4,3,2,4,3,4,4,2,4,4,2,4,4,3,2,3,4,4,3,4,3,4,4,4,4,3,4,4,3,4,4,3,4,4,3,4,3,4,2
3830,2,3,4,3,3,2,2,4,1,4,1,2,3,1,1,2,2,4,3,2,3,1,2,4,3,3,1,2,2,3,4,3,2,3,2,2,3,2,1,1,2,4,1
3831,3,1,2,4,3,2,4,3,3,3,1,2,3,1,4,4,4,3,3,2,2,2,1,3,2,4,2,1,1,3,4,3,1,4,3,2,4,3,2,3,2,3,2
3832,4,1,3,3,4,3,2,3,3,3,4,4,4,4,2,4,3,3,1,2,3,4,1,2,1,4,3,3,4,3,3,2,3,4,1,2,3,3,3,4,2,4,2
3833,1,2,1,3,4,1,3,1,3,3,3,1,3,2,2,3,2,2,3,2,2,1,1,3,1,3,2,2,1,4,3,2,2,3,2,1,1,2,2,3,1,2,2
3834,3,4,3,4,2,3,4,4,3,3,3,3,4,3,3,3,3,3,1,3,2,2,1,3,4,4,2,2,3,2,3,4,3,3,4,1,3,3,2,3,3,3,2
3835,3,2,2,2,3,2,2,3,2,2,3,2,3,2,2,2,4,3,1,2,2,3,2,2,2,3,3,2,3,2,2,3,3,4,3,1,2,2,3,2,2,4,2
3836,1,3,2,1,3,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,3,2,2,1,1,2,2,2,1,2,3,1,2,1,1,1,2,3,3,3,1
3837,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,2,3,1,2,1,1,1,1,1,1,2,2
3838,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2
3839,4,1,2,1,3,2,3,1,4,4,2,3,3,4,1,2,2,2,1,2,4,2,1,2,1,4,3,2,3,3,3,3,3,3,4,1,3,3,2,4,2,3,3
3840,1,1,3,2,3,1,1,4,2,4,2,2,4,3,2,4,2,1,1,1,4,2,1,3,2,3,2,2,2,1,3,1,3,2,1,1,4,4,2,1,1,4,1
3841,2,3,3,1,4,3,2,4,2,3,4,3,4,4,2,4,4,4,4,2,3,4,3,4,1,4,4,3,2,1,4,3,3,4,3,2,3,4,4,1,2,4,2
3842,2,2,3,1,4,2,2,3,3,3,2,3,4,2,3,4,4,4,3,1,3,3,1,3,1,1,3,1,3,3,3,2,3,4,2,2,3,4,3,3,2,3,2
3843,2,4,2,4,3,4,1,4,3,4,4,2,3,4,2,4,2,4,1,3,3,4,4,3,2,3,4,3,3,2,3,4,2,3,2,3,2,2,3,3,2,2,2
3844,4,1,2,1,3,3,1,2,3,2,3,2,4,4,4,3,3,3,1,4,2,4,1,2,2,4,4,1,3,3,2,3,2,4,3,3,3,3,4,4,1,2,2
3845,4,1,4,2,4,4,1,2,4,4,4,3,4,3,1,4,4,2,4,1,4,2,1,4,1,4,4,3,4,4,4,3,3,4,3,1,3,4,4,3,2,4,2
3846,3,4,4,3,3,3,3,2,3,4,3,4,4,3,2,4,4,4,4,3,4,2,3,4,4,3,3,3,2,3,4,2,4,4,3,4,4,4,3,2,3,3,2
3847,2,1,2,2,4,2,2,1,2,3,2,2,3,2,1,3,4,3,1,1,2,2,2,3,3,3,2,2,2,1,3,3,2,4,3,2,2,3,3,2,1,4,2
3848,1,1,1,1,4,2,1,3,1,4,2,2,2,1,2,3,2,3,2,3,3,2,1,2,2,2,2,3,1,3,1,2,2,3,2,1,3,3,3,1,1,4,1
3849,2,3,3,3,2,2,2,3,4,3,2,3,2,3,1,3,4,2,3,2,2,2,2,2,4,2,2,3,2,2,2,3,3,3,2,3,3,3,3,3,3,3,2
3850,1,1,2,1,2,1,1,4,1,4,1,1,3,2,1,1,2,1,1,1,2,3,1,2,1,3,2,1,1,1,4,2,1,2,3,2,4,4,1,2,1,2,1
3851,2,3,2,4,2,2,4,4,4,4,2,4,3,1,1,1,4,2,4,3,4,1,2,1,4,3,1,4,2,4,2,1,4,4,1,4,3,4,1,4,4,2,2
3852,3,1,1,2,1,2,1,2,3,1,3,2,3,4,2,1,2,1,1,2,1,1,1,1,1,1,2,2,3,2,1,1,2,2,3,1,1,1,3,1,1,1,1
3853,3,1,4,1,1,3,1,1,1,4,2,1,4,2,1,4,4,3,1,2,4,1,1,4,1,4,3,1,2,2,4,2,1,4,2,2,4,4,3,4,1,4,2
3854,3,2,3,2,4,2,3,3,2,4,3,3,4,2,2,4,4,4,2,2,4,4,2,3,2,4,2,2,3,3,3,2,3,4,2,3,4,4,3,4,3,4,1
3855,2,3,3,2,2,2,2,4,4,2,2,3,3,1,1,2,2,2,3,4,2,4,4,2,4,3,2,4,4,4,2,1,2,2,1,3,2,2,2,4,3,2,1
3856,3,1,2,1,2,4,2,3,3,3,3,2,3,2,1,1,1,1,1,4,2,2,2,2,1,2,3,3,3,3,2,4,3,2,3,3,2,1,2,4,1,3,2
3857,2,1,3,2,2,2,1,2,3,3,2,2,4,2,2,3,3,2,1,2,2,2,1,2,2,4,2,2,3,2,3,1,2,3,1,1,2,3,2,2,1,2,2
3858,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3859,4,4,4,2,4,3,3,4,4,4,3,4,4,2,1,3,4,2,1,3,4,4,1,4,4,4,2,4,4,1,4,1,4,4,1,4,4,4,4,4,4,4,1
3860,4,1,2,2,4,4,2,3,2,3,4,2,3,1,2,3,3,2,4,4,3,2,1,3,3,2,2,2,3,4,2,2,2,4,3,4,2,2,2,1,2,4,2
3861,3,1,2,1,2,3,1,2,1,3,4,1,4,4,1,4,4,4,1,1,4,2,1,4,1,4,4,1,4,1,3,4,3,4,4,1,3,4,4,1,1,3,2
3862,1,2,1,1,1,3,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1
3863,4,4,2,1,2,4,1,4,1,2,4,3,4,2,1,4,1,4,1,4,1,4,1,1,1,2,4,2,4,1,1,4,2,1,4,2,2,1,4,1,1,4,2
3864,4,1,2,2,3,4,4,1,3,4,4,4,4,3,1,3,4,4,1,2,3,2,1,2,1,3,4,2,4,3,1,4,4,4,4,2,4,4,4,4,2,4,2
3865,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,2
3866,1,4,3,3,2,2,2,2,3,3,2,2,4,2,3,2,4,1,2,2,4,2,2,3,3,4,2,2,2,3,3,2,2,4,2,3,2,4,3,4,1,2,2
3867,3,4,2,4,4,4,2,4,4,4,2,3,4,3,4,3,2,3,4,4,4,4,2,3,4,4,2,4,2,4,2,2,4,3,2,3,3,4,4,4,2,4,2
3868,4,4,3,3,4,4,1,4,4,1,4,4,3,3,3,2,1,4,3,4,1,2,2,3,2,2,4,1,4,4,3,4,4,1,4,4,1,1,4,4,3,3,2
3869,2,4,4,4,2,3,4,4,4,4,4,3,4,3,4,4,4,4,2,4,4,4,4,4,4,4,2,4,3,3,2,4,4,4,4,4,4,4,3,4,4,4,1
3870,2,2,2,1,2,2,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,2,3,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2
3871,4,2,1,3,2,4,1,3,3,1,4,4,2,3,1,2,1,3,2,1,1,1,1,1,3,4,4,2,4,2,1,3,4,2,3,1,1,1,1,4,3,1,2
3872,3,2,3,2,3,3,1,3,3,2,2,2,3,4,1,3,3,2,2,2,2,2,1,2,2,2,2,2,4,3,2,2,3,3,2,3,2,2,3,4,2,3,2
3873,3,1,4,2,3,3,1,4,2,4,4,4,4,2,1,3,4,2,2,2,3,4,1,2,2,4,3,3,3,4,4,1,3,4,1,3,3,4,3,2,1,3,2
3874,1,1,3,1,2,1,1,1,2,1,3,1,2,1,2,1,2,1,1,1,1,1,1,2,1,3,1,1,2,1,3,1,2,3,1,1,2,1,1,1,1,3,1
3875,3,4,4,4,4,4,4,4,4,4,4,3,4,3,1,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
3876,3,4,2,1,2,1,4,4,2,1,2,3,2,1,2,2,2,4,3,3,4,3,1,3,4,2,3,2,2,2,2,3,3,2,2,3,2,4,3,2,4,3,1
3877,3,2,4,4,4,4,3,4,3,4,4,3,3,3,4,4,4,2,2,4,4,3,2,4,2,4,4,2,2,2,3,3,3,3,3,2,4,4,4,3,2,4,2
3878,2,2,1,1,1,2,1,2,1,1,2,3,2,2,1,1,2,2,1,2,1,1,2,1,2,2,3,1,3,1,1,2,2,2,2,2,1,1,2,1,2,1,1
3879,2,1,1,4,3,2,1,2,3,1,2,3,3,2,2,4,2,1,2,4,3,2,1,2,3,3,1,3,4,4,2,1,4,2,1,3,4,3,1,4,1,4,2
3880,1,1,4,1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,1,3,3,1,2,1,1,1,3,1,1,1,1,1,1,2,1,1,1,2,2
3881,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
3882,4,1,2,2,2,3,2,2,3,2,3,1,3,3,1,2,3,2,1,1,2,1,1,2,2,4,4,2,3,1,2,2,2,3,1,1,1,3,3,1,2,2,2
3883,4,4,2,3,3,2,2,3,4,2,4,4,4,4,2,3,2,3,2,3,2,4,1,4,3,3,4,3,4,4,3,4,4,2,4,2,1,4,4,4,4,4,1
3884,4,2,2,4,4,4,4,4,3,2,4,4,3,3,3,4,3,3,4,3,2,4,1,3,4,3,4,3,4,2,3,3,3,2,3,3,2,2,4,3,4,4,2
3885,1,1,1,1,3,1,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,3,1,2,1,3,3,1,3,1,2,1,1,1,2,1,1,1,1,1,2,1,2
3886,2,2,2,2,4,2,2,4,3,1,2,3,3,2,3,2,1,3,1,1,1,3,1,2,2,3,3,3,4,2,2,2,4,1,2,1,1,1,3,3,1,4,2
3887,3,3,2,4,4,3,2,4,3,4,4,4,3,3,2,2,4,4,3,4,3,3,2,4,4,3,4,3,2,2,3,4,4,3,3,3,3,2,4,4,3,4,2
3888,2,3,3,2,3,2,4,2,3,3,3,3,3,2,3,2,3,3,3,2,3,2,2,3,2,3,2,3,3,2,3,2,3,3,3,2,3,3,2,2,3,4,2
3889,4,2,2,2,2,4,2,4,4,2,4,4,3,2,2,1,3,4,2,3,3,4,1,2,4,3,4,4,4,3,2,4,4,2,4,3,2,3,4,3,2,2,2
3890,3,1,4,1,4,3,1,4,1,4,4,4,4,4,1,4,4,4,1,3,4,4,3,4,1,3,4,1,4,1,3,4,2,3,2,1,2,4,4,1,3,4,1
3891,1,2,1,2,1,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1
3892,2,1,2,2,4,2,2,2,3,4,2,2,4,4,2,3,4,2,4,2,4,2,1,2,2,3,2,2,3,2,3,2,2,4,2,2,4,4,3,2,2,4,2
3893,3,3,4,3,4,3,2,3,3,4,3,3,4,3,2,4,4,2,1,3,4,3,1,3,3,4,3,4,2,3,4,3,3,4,2,3,3,4,3,4,3,4,1
3894,1,1,3,1,4,4,1,1,2,4,4,2,4,4,1,2,4,1,1,1,2,1,1,3,1,4,4,1,4,3,3,4,4,4,4,1,4,1,4,4,4,4,1
3895,3,2,4,2,3,4,3,2,3,4,4,1,4,3,1,3,4,3,2,2,3,2,2,4,2,3,3,3,4,2,2,2,3,4,3,3,4,4,4,3,2,3,2
3896,2,1,1,1,3,3,1,1,1,1,2,2,1,4,2,1,1,3,3,1,1,2,1,2,1,1,3,1,2,3,1,3,1,1,2,2,1,1,3,3,1,3,2
3897,1,3,1,1,2,2,3,1,2,2,3,3,2,3,1,3,2,1,2,1,1,2,1,2,3,3,3,1,2,2,1,2,3,1,3,1,1,1,3,3,3,2,1
3898,2,3,4,2,3,1,1,2,2,2,2,1,4,2,2,4,4,1,1,1,4,2,2,4,3,4,3,3,1,2,4,2,3,4,2,2,3,2,3,3,1,2,2
3899,2,2,3,1,2,2,1,3,4,3,1,2,4,2,2,3,4,2,2,3,4,3,2,3,2,4,2,2,1,3,2,2,2,4,2,1,4,3,2,3,3,3,1
3900,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,3,1
3901,3,1,2,2,3,3,1,2,3,2,2,3,3,3,1,3,3,3,2,3,2,1,1,3,4,2,4,3,3,3,2,4,3,3,2,2,1,2,4,3,2,2,3
3902,2,1,3,2,2,2,2,1,2,3,2,1,3,2,1,1,3,2,1,2,3,1,1,3,3,3,2,1,1,1,2,1,1,4,1,2,4,3,2,2,2,3,2
3903,1,1,1,1,2,3,1,2,3,3,2,1,2,3,1,3,2,1,1,1,3,1,1,2,1,1,4,1,3,1,3,3,1,2,2,1,2,2,2,3,1,2,2
3904,3,2,3,2,3,2,3,2,3,3,3,3,3,2,2,2,3,2,2,3,3,2,2,2,3,3,2,2,3,2,3,3,3,3,2,2,2,3,3,3,2,3,2
3905,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
3906,3,4,4,3,4,3,4,4,3,4,3,3,4,4,3,4,4,3,3,4,4,4,2,4,3,4,4,3,3,3,4,4,4,4,4,4,3,4,3,4,4,4,2
3907,4,2,4,1,3,4,1,1,1,4,4,1,3,4,1,4,2,4,3,2,1,1,1,4,1,3,4,4,4,4,3,4,1,4,4,2,3,2,4,4,1,4,2
3908,4,3,4,4,4,4,3,3,4,4,4,3,4,4,2,4,4,4,4,4,4,4,2,4,3,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,2
3909,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
3910,4,2,1,1,1,4,1,2,1,1,4,4,2,4,1,1,3,4,1,1,2,2,1,1,1,2,4,1,3,2,1,4,3,3,4,1,2,3,4,2,1,2,2
3911,4,3,4,2,4,4,2,4,4,4,4,3,4,4,2,4,4,4,3,4,4,4,2,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,1
3912,3,1,2,1,1,2,1,1,4,2,3,3,3,2,1,4,2,1,2,2,3,2,2,3,1,3,3,2,3,4,3,1,3,2,2,2,1,3,2,3,1,4,2
3913,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,3,3,4,1
3914,4,2,2,3,4,4,1,4,3,4,3,4,4,4,1,2,4,4,1,3,2,4,3,3,2,4,4,3,3,3,2,3,3,4,3,4,3,4,3,4,4,4,2
3915,2,4,3,4,4,4,1,4,2,4,2,2,4,4,1,3,4,3,1,1,2,4,1,3,4,4,3,4,3,1,4,4,3,4,4,1,4,4,4,1,1,4,2
3916,4,4,4,2,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,2,4,4,4,3,3,4,3,3,4,3,4,4,3,4,4,4,4,4,4,1
3917,2,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,2,2,3,2,1,1,1,1,1,2,1,1,3,2
3918,4,1,4,2,4,4,3,4,3,4,4,4,4,4,1,4,4,4,2,2,4,4,4,4,4,4,3,2,4,4,4,3,3,4,4,1,4,4,4,4,1,4,2
3919,4,1,3,4,4,4,2,3,4,4,3,4,4,1,3,4,3,4,2,2,4,3,1,4,1,2,2,4,4,2,4,3,3,3,2,2,4,3,3,3,2,4,2
3920,1,4,4,1,2,1,1,1,2,4,1,1,1,1,2,2,4,1,1,1,4,1,1,3,2,1,1,1,1,3,4,2,1,4,1,1,4,4,1,1,1,4,2
3921,2,2,2,3,3,2,1,4,4,1,2,2,2,2,1,2,1,3,2,2,1,4,1,2,3,1,3,2,2,2,2,3,3,1,2,1,1,2,1,3,2,3,1
3922,1,1,3,2,4,2,2,4,2,3,2,2,3,2,1,4,3,2,1,1,3,3,1,3,3,3,3,2,3,2,3,1,2,2,1,1,2,3,2,1,1,4,2
3923,4,3,1,3,3,4,2,3,2,2,4,3,3,4,2,4,3,4,1,2,2,3,1,2,2,2,4,3,4,2,2,3,3,2,2,3,1,3,4,3,2,4,2
3924,3,3,2,3,3,3,3,4,2,3,3,3,3,2,2,2,3,2,3,3,4,3,2,2,2,3,3,2,3,2,2,2,3,3,1,3,3,3,3,3,2,4,3
3925,3,3,4,1,3,3,2,2,2,3,3,2,4,3,1,4,4,2,2,2,2,1,2,3,1,3,2,2,3,1,3,1,2,4,1,2,2,2,3,2,1,4,2
3926,3,2,3,2,4,3,2,4,3,3,4,3,3,2,2,4,4,2,2,2,2,3,2,4,2,3,2,2,4,3,4,3,4,4,2,2,3,2,3,4,2,3,2
3927,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
3928,3,1,2,1,3,3,2,3,3,1,4,4,4,1,1,3,4,2,1,3,3,3,1,3,3,4,2,4,2,2,2,1,4,4,1,4,4,4,4,4,3,4,2
3929,4,1,2,1,3,4,2,3,4,1,3,3,2,4,2,1,2,4,2,2,1,2,1,2,1,2,4,1,4,4,1,4,4,2,4,2,2,1,3,4,1,4,2
3930,4,1,1,4,4,4,1,3,4,1,4,2,2,4,1,2,1,1,3,4,1,2,2,1,3,2,4,2,4,1,2,3,4,2,1,2,2,4,4,3,2,4,2
3931,3,4,2,4,2,4,2,2,4,3,3,3,3,4,2,1,2,1,3,2,1,4,4,3,2,3,4,4,4,2,3,4,2,1,4,2,1,2,4,2,3,3,2
3932,3,3,3,2,4,3,4,3,4,4,4,3,4,2,2,3,3,4,1,3,2,2,2,3,2,4,4,3,2,4,2,3,4,3,2,3,3,4,3,2,2,4,2
3933,3,1,2,1,3,4,1,4,2,3,4,2,4,2,1,3,3,2,1,2,3,3,1,3,1,3,3,3,4,3,3,2,2,3,2,1,2,3,2,1,1,2,2
3934,2,4,4,1,4,2,1,1,3,4,3,1,4,4,1,4,4,2,2,1,4,1,1,4,1,4,2,2,2,2,4,4,1,4,4,1,4,4,2,2,1,4,1
3935,4,3,4,1,2,4,1,2,2,4,4,2,4,3,1,4,4,4,4,1,4,2,1,1,1,4,4,3,4,1,2,2,2,4,3,2,4,4,4,2,2,3,2
3936,3,1,4,2,4,4,2,4,2,4,4,2,4,3,4,4,4,2,3,4,4,4,2,4,2,4,2,2,3,3,4,3,3,4,3,2,4,4,2,3,2,4,3
3937,1,1,1,1,2,1,1,2,2,2,3,2,2,2,2,1,2,2,1,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2
3938,1,1,1,1,2,2,1,4,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,2,1,2,1,1,3,1,4,2
3939,3,1,3,1,3,3,1,4,2,4,3,1,4,3,1,4,3,3,1,2,3,3,1,3,2,4,3,2,3,1,3,3,2,4,2,2,3,3,3,2,1,4,2
3940,3,1,2,3,2,3,2,3,3,2,4,2,4,2,2,2,4,3,2,2,3,2,2,3,3,3,2,2,3,3,3,2,2,4,2,2,2,4,2,3,2,3,2
3941,2,2,2,2,3,1,1,3,1,1,2,4,4,1,4,1,2,1,1,1,2,3,1,2,2,2,2,3,2,3,1,2,4,1,2,3,2,2,2,2,1,4,2
3942,1,3,2,1,2,1,1,2,3,3,1,2,1,1,2,4,4,2,1,2,4,1,1,2,1,3,2,2,1,3,4,1,3,4,1,3,2,3,1,2,1,3,1
3943,3,2,4,3,4,3,2,3,3,4,4,3,4,2,2,4,4,2,1,3,3,4,1,4,3,4,4,2,3,2,4,3,2,4,2,3,4,3,3,2,2,4,2
3944,2,1,2,1,2,2,2,1,1,1,2,2,1,3,1,1,1,2,1,2,1,1,1,1,1,2,2,1,2,1,2,2,2,1,2,1,1,1,2,1,2,2,1
3945,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,1
3946,2,1,4,2,4,3,1,2,3,4,4,3,4,4,1,4,4,4,1,2,3,4,1,4,1,4,4,1,4,4,4,4,2,4,4,2,3,4,4,3,1,4,2
3947,3,1,2,1,3,4,1,3,4,3,4,3,4,4,3,3,2,4,1,4,1,3,1,3,3,3,4,4,3,3,2,3,3,1,3,4,2,1,4,4,1,4,2
3948,2,1,1,2,1,2,2,2,4,1,2,4,1,3,2,1,1,1,4,3,1,2,1,1,4,2,1,2,2,3,1,1,3,1,1,2,1,1,1,4,2,1,2
3949,2,2,4,1,4,3,2,4,4,4,3,3,4,1,1,4,4,4,1,3,4,3,1,3,1,4,3,1,4,1,4,3,4,4,4,2,4,4,3,3,1,4,1
3950,4,2,3,2,3,3,2,3,1,3,3,1,4,4,1,4,4,4,2,2,4,3,2,4,3,4,3,2,2,2,2,2,2,4,2,3,4,4,3,2,2,4,1
3951,4,1,2,2,1,4,3,4,4,2,3,3,3,4,1,3,3,1,3,2,2,4,1,2,2,3,4,2,4,4,2,4,3,2,4,2,2,3,4,2,2,2,2
3952,2,3,4,2,3,1,4,3,3,3,3,2,4,3,3,3,3,2,3,3,3,3,2,4,2,3,3,2,2,3,3,3,2,3,3,2,4,4,3,3,4,3,2
3953,2,1,3,2,3,2,2,4,3,1,3,4,4,2,2,3,1,3,2,2,1,4,2,4,2,4,2,2,4,1,4,2,4,1,3,1,2,1,2,3,2,3,2
3954,3,1,3,2,2,3,1,3,2,4,2,4,3,1,2,4,3,1,1,2,2,2,1,2,2,4,1,2,2,4,2,1,4,2,1,1,4,2,1,2,2,3,1
3955,3,2,3,3,3,3,2,2,2,3,4,2,3,4,2,2,3,3,2,2,3,3,1,3,2,3,4,2,3,3,2,4,2,3,4,3,3,3,4,3,2,4,2
3956,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
3957,4,1,3,2,2,4,3,4,4,3,4,4,3,4,2,4,3,2,3,2,3,4,1,3,3,4,3,2,4,4,3,4,3,4,2,3,3,2,4,4,2,3,2
3958,2,1,3,1,3,1,2,3,2,2,2,3,3,2,2,3,3,1,1,2,3,3,1,3,3,3,2,1,1,2,3,1,3,3,1,2,4,3,2,2,1,2,2
3959,4,4,4,4,4,2,4,3,2,4,4,4,4,2,4,4,4,4,1,4,4,3,4,4,4,4,4,4,4,2,4,1,4,4,2,4,4,4,4,4,4,3,2
3960,2,2,2,1,3,2,1,2,1,2,1,2,3,3,1,2,1,2,3,2,2,2,1,2,1,2,2,2,2,1,3,1,2,2,1,1,2,3,3,2,2,3,1
3961,4,4,4,4,2,4,4,4,3,4,4,4,4,4,3,3,4,3,2,3,4,4,4,4,2,4,4,3,4,2,2,3,4,4,4,4,4,4,4,4,4,2,2
3962,2,1,1,1,3,4,3,4,4,3,2,3,1,3,2,1,2,3,1,4,3,3,1,2,1,3,2,3,2,1,1,2,3,2,1,4,3,1,3,4,3,3,2
3963,3,1,2,1,3,2,3,3,3,1,3,4,3,2,1,3,1,3,1,3,2,3,1,1,3,3,4,4,3,2,2,3,3,1,3,2,1,1,4,3,1,2,2
3964,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
3965,4,2,4,3,4,3,2,3,2,4,4,2,4,4,3,4,4,4,1,1,3,3,2,4,3,4,4,1,4,3,2,2,1,4,2,1,4,4,4,2,3,4,2
3966,2,2,1,2,1,2,1,2,2,1,2,1,2,2,2,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,2,2,1,1,1,1,3,2,2,1,2
3967,1,1,1,1,1,4,1,3,4,1,3,2,3,2,1,1,1,1,1,1,1,2,1,1,1,4,1,3,2,1,1,2,2,1,1,1,3,1,3,1,3,1,2
3968,1,1,4,1,3,4,1,4,2,4,4,3,4,4,1,4,4,4,4,2,4,4,1,4,2,1,4,4,4,3,4,4,3,4,1,1,4,4,4,2,2,3,2
3969,2,2,3,2,2,2,1,2,1,4,1,1,2,2,1,4,2,1,1,1,2,2,2,3,1,2,1,1,2,1,3,2,1,2,1,1,4,4,2,1,1,3,1
3970,2,1,1,1,1,2,1,2,2,2,2,2,2,3,2,1,1,2,1,2,1,3,1,1,2,1,2,1,3,1,2,3,3,2,2,1,1,2,1,1,1,1,1
3971,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
3972,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2
3973,1,1,1,1,1,4,1,1,1,1,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,3,2,3,1,1,1,3,1,1,1,1,1,3,1,1,1,2
3974,2,1,2,1,3,1,1,2,1,2,1,2,3,2,1,3,3,1,1,1,3,2,1,3,2,2,2,1,1,1,3,2,1,3,2,1,3,3,3,1,2,3,1
3975,1,3,2,2,2,2,1,1,2,1,2,2,3,1,2,1,1,3,3,1,3,2,1,1,2,4,2,3,2,1,1,2,2,3,2,1,1,3,2,2,1,3,1
3976,3,1,1,2,1,2,1,2,2,1,2,4,2,2,1,1,2,2,1,2,1,2,1,1,1,1,2,1,2,1,1,1,4,2,3,2,1,1,2,1,4,1,2
3977,2,4,3,3,3,2,1,1,4,3,2,1,3,4,2,3,2,1,1,3,2,2,2,3,4,1,2,3,2,3,2,2,2,1,4,3,4,3,3,3,1,4,1
3978,3,1,3,4,4,4,3,2,4,4,4,4,4,1,1,4,4,4,1,2,4,3,1,4,1,3,3,2,4,2,4,4,3,4,4,4,4,4,4,4,4,4,1
3979,3,3,3,2,3,3,2,3,1,3,4,1,4,2,1,3,1,3,1,1,2,3,3,3,2,4,4,3,3,1,3,1,1,1,1,1,2,1,4,1,1,4,2
